<<<<<<< HEAD
; PERSON  C:\Users\araborn\AppData\Local\Temp\RtmpukJnDo\winstepsR_examples\example_domain  Sep 08 2026 12:29
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ INZSTD OUTMSQ OUTZST  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE  INDF OUTDF NAME
    78  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P078
    79  -.1822  1     6.0      3.0  .9533   2.38   2.44   2.96   2.50  .0000   -.49   1.00  33.3  73.3   .51   .66  -.1824 10.37  6.23 P079
    80   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P080
    81 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P081
    82  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P082
    83 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P083
    84 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P084
    85  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P085
    86  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P086
    87   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P087
    88   .7514  1     6.0      4.0  .9933    .84   -.23    .64   -.26  .0000    .62   1.00  66.7  74.9   .48   .38   .6711  9.57  3.19 P088
    89  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P089
    90  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P090
    91 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P091
    92   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P092
    93 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P093
    94   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P094
    95 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P095
    96  -.1822  1     6.0      3.0  .9533   1.07    .31    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P096
    97 -3.7055 -1     5.0       .0 1.9324   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.4593   .00   .00 P097
    98   .7514  1     6.0      4.0  .9933   1.43    .98   3.04   1.96  .0000    .00   1.00  66.7  74.9   .48   .49   .6711  9.57  3.19 P098
    99 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P099
   100   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P100
   101  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P101
   102  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P102
   103 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P103
   104  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P104
   105  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P105
   106   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P106
   107 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P107
   108  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P108
   109 -3.7413 -1     6.0       .0 1.9258   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.4786   .00   .00 P109
   110   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P110
   111  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P111
   112 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P112
   113  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P113
   114  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P114
   115 -2.2597  1     6.0      1.0 1.1910   1.40    .77   1.14    .56  .0000    .13   1.00  83.3  83.3   .37   .41 -1.9955  4.72  1.00 P115
   116  1.8968  1     6.0      5.0 1.1914   1.72   1.13   4.19   1.77  .0000   -.39   1.00  83.3  83.3   .37   .45  1.6328  4.72  1.00 P116
   117  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P117
   118  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P118
   119  1.8968  1     6.0      5.0 1.1914   1.72   1.13   4.19   1.77  .0000   -.39   1.00  83.3  83.3   .37   .45  1.6328  4.72  1.00 P119
   120   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P120
   121  1.8968  1     6.0      5.0 1.1914   1.07    .32    .63    .17  .0000    .39   1.00  83.3  83.3   .37   .35  1.6328  4.72  1.00 P121
   122   .7514  1     6.0      4.0  .9933   1.76   1.52   3.32   2.13  .0000   -.21   1.00  66.7  74.9   .48   .55   .6711  9.57  3.19 P122
   123  -.1822  1     6.0      3.0  .9533   1.36    .88   1.28    .64  .0000    .29   1.00  66.7  73.3   .51   .50  -.1824 10.37  6.23 P123
   124  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P124
   125  -.9883  1     5.0      2.0 1.0410    .51  -1.27    .43   -.70  .0000    .81   1.00 100.0  72.1   .47   .31  -.9494 10.95  3.37 P125
   126   .7514  1     6.0      4.0  .9933   1.13    .42   1.00    .27  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P126
   127  -.1822  1     6.0      3.0  .9533   1.56   1.24   1.84   1.38  .0000    .10   1.00  66.7  73.3   .51   .54  -.1824 10.37  6.23 P127
   128 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P128
   129  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P129
   130   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P130
   131   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P131
   132  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P132
   133  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P133
   134  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P134
   135   .6890  1     5.0      3.0 1.0180    .50  -1.30    .44  -1.05  .0000    .87   1.00 100.0  71.1   .44   .31   .6322 10.88  6.05 P135
   136  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P136
   137 -2.2597  1     6.0      1.0 1.1910   1.61   1.01   2.14   1.08  .0000   -.13   1.00  83.3  83.3   .37   .43 -1.9955  4.72  1.00 P137
   138  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P138
   139  -.8638  1     5.0      2.0 1.0772    .90   -.04    .69   -.17  .0000    .62   1.00  60.0  74.3   .53   .39  -.8380  8.39  3.11 P139
   140  -.1822  1     6.0      3.0  .9533   1.07    .31    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P140
   141  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P141
   142 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P142
   143  3.3792  0     6.0      6.0 1.9260   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00  3.1171   .00   .00 P143
   144 -2.2597  1     6.0      1.0 1.1910   1.61   1.01   2.14   1.08  .0000   -.13   1.00  83.3  83.3   .37   .43 -1.9955  4.72  1.00 P144
   145   .5010  1     5.0      3.0 1.0774    .49  -1.14    .39   -.74  .0000    .84   1.00 100.0  74.3   .53   .29   .4747  8.36  3.12 P145
   146 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P146
   147  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P147
   148   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P148
   149  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P149
   150 -2.2597  1     6.0      1.0 1.1910    .60   -.50    .33   -.18  .0000    .65   1.00  83.3  83.3   .37   .27 -1.9955  4.72  1.00 P150
   151  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P151
   152   .7514  1     6.0      4.0  .9933    .84   -.23    .64   -.26  .0000    .62   1.00  66.7  74.9   .48   .38   .6711  9.57  3.19 P152
   153  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P153
   154  1.8968  1     6.0      5.0 1.1914   1.61   1.01   2.16   1.09  .0000   -.13   1.00  83.3  83.3   .37   .44  1.6328  4.72  1.00 P154
   155 -1.5038  1     5.0      1.0 1.2000   1.43    .81   1.34    .65  .0000    .00   1.00  80.0  80.0   .35   .45 -1.2504  5.05  1.42 P155
   156  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P156
   157  -.1822  1     6.0      3.0  .9533    .78   -.39    .65   -.53  .0000    .68   1.00  66.7  73.3   .51   .38  -.1824 10.37  6.23 P157
   158 -1.1153  1     6.0      2.0  .9929   1.81   1.58   1.53    .84  .0000    .00   1.00  33.3  74.9   .48   .55 -1.0353  9.63  3.18 P158
   159  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P159
   160   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P160
   161  1.8968  1     6.0      5.0 1.1914   1.61   1.01   2.16   1.09  .0000   -.13   1.00  83.3  83.3   .37   .44  1.6328  4.72  1.00 P161
   162 -2.2597  1     6.0      1.0 1.1910   1.61   1.01   2.14   1.08  .0000   -.13   1.00  83.3  83.3   .37   .43 -1.9955  4.72  1.00 P162
   163 -2.2597  1     6.0      1.0 1.1910   1.61   1.01   2.14   1.08  .0000   -.13   1.00  83.3  83.3   .37   .43 -1.9955  4.72  1.00 P163
   164   .7514  1     6.0      4.0  .9933   1.17    .50    .92    .16  .0000    .41   1.00  66.7  74.9   .48   .44   .6711  9.57  3.19 P164
   165   .7514  1     6.0      4.0  .9933    .48  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29   .6711  9.57  3.19 P165
   166  -.1822  1     6.0      3.0  .9533   1.07    .30    .96    .12  .0000    .49   1.00  66.7  73.3   .51   .44  -.1824 10.37  6.23 P166
   167  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P167
   168  -.1822  1     6.0      3.0  .9533    .46  -1.43    .40  -1.21  .0000    .88   1.00 100.0  73.3   .51   .29  -.1824 10.37  6.23 P168
   169 -1.1153  1     6.0      2.0  .9929    .83   -.24    .63   -.27  .0000    .62   1.00  66.7  74.9   .48   .38 -1.0353  9.63  3.18 P169
   170 -1.1153  1     6.0      2.0  .9929    .49  -1.26    .38   -.77  .0000    .83   1.00 100.0  74.9   .48   .29 -1.0353  9.63  3.18 P170
   171  -.1822  1     6.0      3.0  .9533   1.89   1.76   2.09   1.66  .0000   -.10   1.00  33.3  73.3   .51   .59  -.1824 10.37  6.23 P171
   172  1.8968  1     6.0      5.0 1.1914   1.72   1.13   4.19   1.77  .0000   -.39   1.00  83.3  83.3   .37   .45  1.6328  4.72  1.00 P172
   173  1.8968  1     6.0      5.0 1.1914    .60   -.50    .33   -.18  .0000    .66   1.00  83.3  83.3   .37   .27  1.6328  4.72  1.00 P173
   174  -.8638  1     5.0      2.0 1.0772    .90   -.04    .69   -.17  .0000    .62   1.00  60.0  74.3   .53   .39  -.8380  8.39  3.11 P174
   175  1.8968  1     6.0      5.0 1.1914   1.41    .77   1.14    .57  .0000    .13   1.00  83.3  83.3   .37   .41  1.6328  4.72  1.00 P175
