; PERSON  C:\Users\araborn\AppData\Local\Temp\RtmpukJnDo\winstepsR_examples\example_full\c  Sep 08 2026 12:29
;ENTRY MEASURE ST   COUNT    SCORE MODLSE IN.MSQ INZSTD OUTMSQ OUTZST  DISPL   PTMA WEIGHT OBSMA EXPMA PMA-E  RMSR    WMLE  INDF OUTDF NAME
    39  -.4588  1    12.0      5.0  .6817    .92   -.17    .89   -.12  .0000    .56   1.00  83.3  73.6   .51   .41  -.4399 20.38  9.92 P039
    40   .0000  1    12.0      6.0  .6752    .63  -1.27    .53  -1.27  .0000    .77   1.00  83.3  73.2   .52   .34   .0000 20.68 12.06 P040
    41  -.4588  1    12.0      5.0  .6817   1.57   1.66   1.71   1.45  .0000    .12   1.00  50.0  73.6   .51   .53  -.4399 20.38  9.92 P041
    42   .0000  1    12.0      6.0  .6752    .79   -.61    .66   -.83  .0000    .68   1.00  66.7  73.2   .52   .38   .0000 20.68 12.06 P042
    43  -.9364  1    12.0      4.0  .7035    .97    .03   1.19    .51  .0000    .46   1.00  75.0  74.9   .48   .41  -.8941 19.04  6.20 P043
    44   .0000  1    12.0      6.0  .6752   1.07    .32   1.28    .77  .0000    .44   1.00  83.3  73.2   .52   .44   .0000 20.68 12.06 P044
    45  -.9364  1    12.0      4.0  .7035    .76   -.71    .59   -.67  .0000    .67   1.00  75.0  74.9   .48   .36  -.8941 19.04  6.20 P045
    46  2.9844  1    12.0     11.0 1.0946    .74   -.10    .29   -.24  .0000    .48   1.00  91.7  91.7   .27   .23  2.6569  3.33  1.00 P046
    47   .4588  1    12.0      7.0  .6817   1.33   1.05   1.51   1.14  .0000    .27   1.00  66.7  73.6   .51   .49   .4399 20.38  9.92 P047
    48  -.0571  1    11.0      5.0  .6928    .66  -1.19    .57  -1.17  .0000    .75   1.00  81.8  71.9   .48   .35  -.0456 21.51 12.84 P048
    49  1.4604  1    12.0      9.0  .7492   1.36   1.01   1.08    .36  .0000    .25   1.00  58.3  77.9   .44   .45  1.3820 15.49  3.40 P049
    50  1.4105  1    11.0      8.0  .7610    .75   -.66    .53   -.49  .0000    .63   1.00  72.7  76.4   .44   .34  1.3399 16.77  3.38 P050
    51 -2.0860  1    12.0      2.0  .8441   1.26    .68    .86    .23  .0000    .26   1.00  83.3  83.3   .38   .38 -1.9396  9.35  1.68 P051
    52   .4588  1    12.0      7.0  .6817    .77   -.69    .72   -.54  .0000    .66   1.00  83.3  73.6   .51   .37   .4399 20.38  9.92 P052
    53 -1.4604  1    12.0      3.0  .7492    .74   -.68    .50   -.56  .0000    .64   1.00  75.0  77.9   .44   .33 -1.3820 15.49  3.40 P053
    54   .1448  1    11.0      6.0  .7120    .99    .09    .86   -.19  .0000    .55   1.00  63.6  73.5   .52   .42   .1280 17.88 10.18 P054
    55 -1.0793  1    11.0      3.0  .7536    .93   -.10   1.02    .25  .0000    .45   1.00  90.9  76.1   .43   .38 -1.0042 16.16  4.51 P055
    56   .4588  1    12.0      7.0  .6817    .84   -.44    .82   -.28  .0000    .61   1.00  83.3  73.6   .51   .39   .4399 20.38  9.92 P056
    57 -2.0615  1    11.0      2.0  .8494    .93   -.02    .68    .02  .0000    .44   1.00  81.8  81.8   .37   .34 -1.9194  9.81  1.71 P057
    58   .0000  1    12.0      6.0  .6752   1.38   1.19   1.28    .77  .0000    .29   1.00  50.0  73.2   .52   .50   .0000 20.68 12.06 P058
    59   .9364  1    12.0      8.0  .7035   1.11    .44   1.10    .35  .0000    .41   1.00  75.0  74.9   .48   .43   .8941 19.04  6.20 P059
    60  -.7133  1    11.0      4.0  .7363   1.75   1.84   1.61   1.13  .0000    .08   1.00  45.5  76.1   .52   .54  -.6766 15.48  6.62 P060
    61   .0000  1    12.0      6.0  .6752    .47  -2.06    .40  -1.78  .0000    .87   1.00 100.0  73.2   .52   .29   .0000 20.68 12.06 P061
    62   .4588  1    12.0      7.0  .6817    .79   -.61    .68   -.67  .0000    .66   1.00  83.3  73.6   .51   .38   .4399 20.38  9.92 P062
    63   .0000  1    12.0      6.0  .6752    .93   -.14    .83   -.30  .0000    .58   1.00  66.7  73.2   .52   .41   .0000 20.68 12.06 P063
    64   .9364  1    12.0      8.0  .7035    .50  -1.82    .39  -1.23  .0000    .82   1.00  91.7  74.9   .48   .29   .8941 19.04  6.20 P064
    65 -2.0860  1    12.0      2.0  .8441   1.08    .32    .64   -.01  .0000    .39   1.00  83.3  83.3   .38   .35 -1.9396  9.35  1.68 P065
    66   .0571  1    11.0      6.0  .6928    .66  -1.19    .57  -1.17  .0000    .75   1.00  81.8  71.9   .48   .35   .0456 21.51 12.84 P066
    67 -2.9844  1    12.0      1.0 1.0946   1.26    .57   1.47    .76  .0000    .04   1.00  91.7  91.7   .27   .30 -2.6569  3.33  1.00 P067
    68  2.0860  1    12.0     10.0  .8441   1.32    .78   1.56    .80  .0000    .13   1.00  83.3  83.3   .38   .39  1.9396  9.35  1.68 P068
    69  -.9364  1    12.0      4.0  .7035   1.11    .44   1.10    .35  .0000    .41   1.00  75.0  74.9   .48   .43  -.8941 19.04  6.20 P069
    70   .2801  1    11.0      6.0  .7178    .45  -1.91    .38  -1.63  .0000    .88   1.00 100.0  74.4   .53   .28   .2727 16.78  9.47 P070
    71  1.4604  1    12.0      9.0  .7492   1.35   1.01   1.48    .80  .0000    .19   1.00  58.3  77.9   .44   .45  1.3820 15.49  3.40 P071
    72   .0000  1    12.0      6.0  .6752   1.01    .13    .90   -.12  .0000    .53   1.00  66.7  73.2   .52   .43   .0000 20.68 12.06 P072
    73  2.0860  1    12.0     10.0  .8441    .86   -.17    .48   -.24  .0000    .52   1.00  83.3  83.3   .38   .32  1.9396  9.35  1.68 P073
    74  -.9364  1    12.0      4.0  .7035    .80   -.55    .74   -.32  .0000    .61   1.00  91.7  74.9   .48   .37  -.8941 19.04  6.20 P074
    75  1.4604  1    12.0      9.0  .7492   1.38   1.07   1.67    .98  .0000    .14   1.00  75.0  77.9   .44   .45  1.3820 15.49  3.40 P075
    76  -.9364  1    12.0      4.0  .7035   1.31    .98   1.15    .43  .0000    .31   1.00  58.3  74.9   .48   .47  -.8941 19.04  6.20 P076
    77  2.9844  1    12.0     11.0 1.0946    .74   -.10    .29   -.24  .0000    .48   1.00  91.7  91.7   .27   .23  2.6569  3.33  1.00 P077
    78  1.4604  1    12.0      9.0  .7492    .54  -1.44    .37   -.85  .0000    .75   1.00  91.7  77.9   .44   .28  1.3820 15.49  3.40 P078
    79   .0000  1    12.0      6.0  .6752   1.58   1.70   1.85   1.82  .0000    .10   1.00  50.0  73.2   .52   .54   .0000 20.68 12.06 P079
    80   .4588  1    12.0      7.0  .6817    .86   -.37   1.09    .33  .0000    .56   1.00  83.3  73.6   .51   .39   .4399 20.38  9.92 P080
    81 -1.4604  1    12.0      3.0  .7492    .93   -.09    .64   -.29  .0000    .53   1.00  75.0  77.9   .44   .37 -1.3820 15.49  3.40 P081
    82  1.4604  1    12.0      9.0  .7492    .72   -.73    .51   -.53  .0000    .64   1.00  91.7  77.9   .44   .33  1.3820 15.49  3.40 P082
    83 -1.4604  1    12.0      3.0  .7492   1.00    .13    .74   -.11  .0000    .47   1.00  75.0  77.9   .44   .39 -1.3820 15.49  3.40 P083
    84 -2.0860  1    12.0      2.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27 -1.9396  9.35  1.68 P084
    85  -.9364  1    12.0      4.0  .7035   1.09    .37    .88   -.03  .0000    .46   1.00  75.0  74.9   .48   .43  -.8941 19.04  6.20 P085
    86  2.9844  1    12.0     11.0 1.0946    .74   -.10    .29   -.24  .0000    .48   1.00  91.7  91.7   .27   .23  2.6569  3.33  1.00 P086
    87   .4588  1    12.0      7.0  .6817    .47  -2.01    .40  -1.61  .0000    .86   1.00 100.0  73.6   .51   .29   .4399 20.38  9.92 P087
    88   .4588  1    12.0      7.0  .6817    .94   -.10    .85   -.21  .0000    .56   1.00  66.7  73.6   .51   .41   .4399 20.38  9.92 P088
    89  2.0860  1    12.0     10.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27  1.9396  9.35  1.68 P089
    90  2.0860  1    12.0     10.0  .8441    .73   -.49    .41   -.34  .0000    .58   1.00  83.3  83.3   .38   .29  1.9396  9.35  1.68 P090
    91 -2.0860  1    12.0      2.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27 -1.9396  9.35  1.68 P091
    92  1.4604  1    12.0      9.0  .7492   1.02    .18    .70   -.18  .0000    .47   1.00  75.0  77.9   .44   .39  1.3820 15.49  3.40 P092
    93  -.9364  1    12.0      4.0  .7035    .67  -1.04    .51   -.86  .0000    .72   1.00  75.0  74.9   .48   .34  -.8941 19.04  6.20 P093
    94   .4588  1    12.0      7.0  .6817    .78   -.64    .69   -.62  .0000    .66   1.00  83.3  73.6   .51   .37   .4399 20.38  9.92 P094
    95 -2.7049  1    11.0      1.0 1.1100    .65   -.27    .25   -.31  .0000    .56   1.00  90.9  90.9   .30   .22 -2.3816  3.41  1.00 P095
    96  -.4588  1    12.0      5.0  .6817    .77   -.69    .72   -.54  .0000    .66   1.00  83.3  73.6   .51   .37  -.4399 20.38  9.92 P096
    97 -2.9602  1    11.0      1.0 1.0986    .91    .13    .43   -.05  .0000    .38   1.00  90.9  90.9   .27   .26 -2.6367  3.42  1.00 P097
    98   .9364  1    12.0      8.0  .7035    .93   -.10   1.95   1.51  .0000    .41   1.00  91.7  74.9   .48   .40   .8941 19.04  6.20 P098
    99 -2.0860  1    12.0      2.0  .8441    .73   -.49    .41   -.34  .0000    .58   1.00  83.3  83.3   .38   .29 -1.9396  9.35  1.68 P099
   100   .0000  1    12.0      6.0  .6752    .87   -.35    .73   -.58  .0000    .63   1.00  66.7  73.2   .52   .40   .0000 20.68 12.06 P100
   101   .4588  1    12.0      7.0  .6817    .56  -1.58    .46  -1.36  .0000    .81   1.00  83.3  73.6   .51   .32   .4399 20.38  9.92 P101
   102  -.4588  1    12.0      5.0  .6817    .47  -2.01    .40  -1.61  .0000    .86   1.00 100.0  73.6   .51   .29  -.4399 20.38  9.92 P102
   103  -.9364  1    12.0      4.0  .7035    .67  -1.04    .51   -.86  .0000    .72   1.00  75.0  74.9   .48   .34  -.8941 19.04  6.20 P103
   104  -.9364  1    12.0      4.0  .7035    .58  -1.41    .45  -1.04  .0000    .77   1.00  91.7  74.9   .48   .31  -.8941 19.04  6.20 P104
   105   .9364  1    12.0      8.0  .7035    .91   -.16   1.48    .92  .0000    .46   1.00  91.7  74.9   .48   .39   .8941 19.04  6.20 P105
   106  1.4604  1    12.0      9.0  .7492    .64  -1.05    .44   -.69  .0000    .70   1.00  91.7  77.9   .44   .31  1.3820 15.49  3.40 P106
   107 -1.4604  1    12.0      3.0  .7492    .91   -.13    .95    .19  .0000    .47   1.00  91.7  77.9   .44   .37 -1.3820 15.49  3.40 P107
   108  2.0860  1    12.0     10.0  .8441    .92   -.03    .63   -.03  .0000    .45   1.00  83.3  83.3   .38   .33  1.9396  9.35  1.68 P108
   109 -2.9844  1    12.0      1.0 1.0946    .90    .13    .40   -.09  .0000    .39   1.00  91.7  91.7   .27   .25 -2.6569  3.33  1.00 P109
   110   .0000  1    12.0      6.0  .6752   1.00    .10    .91   -.09  .0000    .53   1.00  66.7  73.2   .52   .43   .0000 20.68 12.06 P110
   111  -.4588  1    12.0      5.0  .6817    .47  -2.01    .40  -1.61  .0000    .86   1.00 100.0  73.6   .51   .29  -.4399 20.38  9.92 P111
   112  -.9364  1    12.0      4.0  .7035    .84   -.41    .66   -.50  .0000    .61   1.00  75.0  74.9   .48   .38  -.8941 19.04  6.20 P112
   113   .1087  1    11.0      6.0  .7054    .49  -1.90    .42  -1.62  .0000    .86   1.00 100.0  72.9   .51   .30   .0924 19.46 10.68 P113
   114   .4588  1    12.0      7.0  .6817    .85   -.39    .78   -.37  .0000    .61   1.00  83.3  73.6   .51   .39   .4399 20.38  9.92 P114
   115  -.9364  1    12.0      4.0  .7035   1.09    .38    .86   -.06  .0000    .46   1.00  58.3  74.9   .48   .43  -.8941 19.04  6.20 P115
   116   .9364  1    12.0      8.0  .7035   1.66   1.80   2.47   2.05  .0000   -.05   1.00  58.3  74.9   .48   .53   .8941 19.04  6.20 P116
   117  -.4588  1    12.0      5.0  .6817    .64  -1.23    .53  -1.13  .0000    .76   1.00  83.3  73.6   .51   .34  -.4399 20.38  9.92 P117
   118   .4588  1    12.0      7.0  .6817    .87   -.34    .75   -.46  .0000    .61   1.00  83.3  73.6   .51   .39   .4399 20.38  9.92 P118
   119   .9364  1    12.0      8.0  .7035   1.15    .54   1.33    .71  .0000    .36   1.00  75.0  74.9   .48   .44   .8941 19.04  6.20 P119
   120  -.9364  1    12.0      4.0  .7035   1.18    .62   1.67   1.17  .0000    .31   1.00  75.0  74.9   .48   .45  -.8941 19.04  6.20 P120
   121  2.9844  1    12.0     11.0 1.0946   1.13    .42    .75    .28  .0000    .22   1.00  91.7  91.7   .27   .28  2.6569  3.33  1.00 P121
   122  1.4604  1    12.0      9.0  .7492   1.41   1.14   3.24   2.13  .0000    .03   1.00  58.3  77.9   .44   .46  1.3820 15.49  3.40 P122
   123  -.4588  1    12.0      5.0  .6817   1.10    .40    .98    .11  .0000    .47   1.00  66.7  73.6   .51   .44  -.4399 20.38  9.92 P123
   124  2.0860  1    12.0     10.0  .8441    .92   -.03    .63   -.03  .0000    .45   1.00  83.3  83.3   .38   .33  1.9396  9.35  1.68 P124
   125 -2.0512  1    11.0      2.0  .8515    .74   -.49    .44   -.28  .0000    .57   1.00  81.8  81.8   .37   .30 -1.9105  9.96  1.64 P125
   126   .9364  1    12.0      8.0  .7035   1.13    .51   1.02    .22  .0000    .41   1.00  75.0  74.9   .48   .44   .8941 19.04  6.20 P126
   127  -.4588  1    12.0      5.0  .6817   1.02    .15   1.22    .61  .0000    .47   1.00  83.3  73.6   .51   .43  -.4399 20.38  9.92 P127
   128  -.4588  1    12.0      5.0  .6817    .87   -.34    .75   -.46  .0000    .61   1.00  83.3  73.6   .51   .39  -.4399 20.38  9.92 P128
   129   .4588  1    12.0      7.0  .6817    .88   -.29    .73   -.52  .0000    .61   1.00  66.7  73.6   .51   .40   .4399 20.38  9.92 P129
   130  1.4604  1    12.0      9.0  .7492    .64  -1.05    .44   -.69  .0000    .70   1.00  91.7  77.9   .44   .31  1.3820 15.49  3.40 P130
   131  -.4588  1    12.0      5.0  .6817    .72   -.89    .59   -.92  .0000    .71   1.00  83.3  73.6   .51   .36  -.4399 20.38  9.92 P131
   132  2.0860  1    12.0     10.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27  1.9396  9.35  1.68 P132
   133  1.4604  1    12.0      9.0  .7492    .83   -.39    .57   -.40  .0000    .59   1.00  75.0  77.9   .44   .35  1.3820 15.49  3.40 P133
   134   .4588  1    12.0      7.0  .6817    .56  -1.58    .46  -1.36  .0000    .81   1.00  83.3  73.6   .51   .32   .4399 20.38  9.92 P134
   135   .9110  1    11.0      7.0  .7105    .50  -1.84    .42  -1.38  .0000    .84   1.00  90.9  72.9   .47   .30   .8734 20.08  8.42 P135
   136   .0000  1    12.0      6.0  .6752    .76   -.73    .71   -.67  .0000    .68   1.00  83.3  73.2   .52   .37   .0000 20.68 12.06 P136
   137 -2.0860  1    12.0      2.0  .8441   1.38    .89   1.29    .61  .0000    .13   1.00  83.3  83.3   .38   .40 -1.9396  9.35  1.68 P137
   138   .4588  1    12.0      7.0  .6817    .82   -.51    .87   -.15  .0000    .61   1.00  83.3  73.6   .51   .38   .4399 20.38  9.92 P138
   139   .7148  1    10.0      6.0  .7495   1.06    .28   1.23    .59  .0000    .44   1.00  80.0  73.7   .50   .43   .6915 17.08  7.21 P139
   140   .0000  1    12.0      6.0  .6752    .95   -.07    .80   -.39  .0000    .58   1.00  66.7  73.2   .52   .42   .0000 20.68 12.06 P140
   141   .9364  1    12.0      8.0  .7035   1.60   1.69   1.53   1.00  .0000    .10   1.00  58.3  74.9   .48   .52   .8941 19.04  6.20 P141
   142   .0000  1    12.0      6.0  .6752    .85   -.42    .77   -.47  .0000    .63   1.00  83.3  73.2   .52   .39   .0000 20.68 12.06 P142
   143  2.9727  1    11.0     10.0 1.0966    .75   -.11    .32   -.20  .0000    .49   1.00  90.9  90.9   .27   .24  2.6472  3.37  1.00 P143
   144  -.9364  1    12.0      4.0  .7035   1.51   1.48   2.45   2.03  .0000    .05   1.00  58.3  74.9   .48   .51  -.8941 19.04  6.20 P144
   145  2.0366  1    11.0      9.0  .8543    .97    .09    .60   -.04  .0000    .44   1.00  81.8  81.8   .38   .35  1.8977 10.11  1.60 P145
   146 -1.4604  1    12.0      3.0  .7492    .72   -.73    .51   -.53  .0000    .64   1.00  91.7  77.9   .44   .33 -1.3820 15.49  3.40 P146
   147   .0000  1    12.0      6.0  .6752    .94   -.10    .81   -.36  .0000    .58   1.00  66.7  73.2   .52   .41   .0000 20.68 12.06 P147
   148   .9364  1    12.0      8.0  .7035   1.00    .12   1.54   1.00  .0000    .41   1.00  75.0  74.9   .48   .41   .8941 19.04  6.20 P148
   149  -.4588  1    12.0      5.0  .6817   1.10    .42    .97    .08  .0000    .46   1.00  66.7  73.6   .51   .44  -.4399 20.38  9.92 P149
   150 -2.9844  1    12.0      1.0 1.0946    .74   -.10    .29   -.24  .0000    .48   1.00  91.7  91.7   .27   .23 -2.6569  3.33  1.00 P150
   151   .0000  1    12.0      6.0  .6752    .93   -.14    .83   -.30  .0000    .58   1.00  66.7  73.2   .52   .41   .0000 20.68 12.06 P151
   152   .4588  1    12.0      7.0  .6817    .81   -.56    .65   -.73  .0000    .66   1.00  66.7  73.6   .51   .38   .4399 20.38  9.92 P152
   153  1.4604  1    12.0      9.0  .7492    .93   -.09    .64   -.29  .0000    .53   1.00  75.0  77.9   .44   .37  1.3820 15.49  3.40 P153
   154  1.4604  1    12.0      9.0  .7492   1.02    .17   1.01    .27  .0000    .42   1.00  75.0  77.9   .44   .39  1.3820 15.49  3.40 P154
   155  -.0571  1    11.0      5.0  .6928   1.37   1.18   1.30    .83  .0000    .23   1.00  45.5  71.9   .48   .51  -.0456 21.51 12.84 P155
   156  2.0860  1    12.0     10.0  .8441    .61   -.83    .34   -.47  .0000    .65   1.00  83.3  83.3   .38   .27  1.9396  9.35  1.68 P156
   157  -.9364  1    12.0      4.0  .7035    .74   -.77    .61   -.61  .0000    .67   1.00  91.7  74.9   .48   .35  -.8941 19.04  6.20 P157
   158   .4588  1    12.0      7.0  .6817   1.39   1.21   1.99   1.87  .0000    .17   1.00  66.7  73.6   .51   .50   .4399 20.38  9.92 P158
   159  1.4604  1    12.0      9.0  .7492    .72   -.73    .51   -.53  .0000    .64   1.00  91.7  77.9   .44   .33  1.3820 15.49  3.40 P159
   160  1.4604  1    12.0      9.0  .7492   1.39   1.09   1.01    .27  .0000    .25   1.00  58.3  77.9   .44   .45  1.3820 15.49  3.40 P160
   161  1.4604  1    12.0      9.0  .7492   1.20    .65   1.15    .45  .0000    .31   1.00  75.0  77.9   .44   .42  1.3820 15.49  3.40 P161
   162 -2.0860  1    12.0      2.0  .8441   1.16    .48   1.12    .47  .0000    .26   1.00  83.3  83.3   .38   .37 -1.9396  9.35  1.68 P162
   163 -2.0860  1    12.0      2.0  .8441   1.16    .48   1.12    .47  .0000    .26   1.00  83.3  83.3   .38   .37 -1.9396  9.35  1.68 P163
   164   .0000  1    12.0      6.0  .6752   1.13    .51   1.12    .41  .0000    .43   1.00  66.7  73.2   .52   .45   .0000 20.68 12.06 P164
   165   .0000  1    12.0      6.0  .6752   1.00    .10    .91   -.09  .0000    .53   1.00  66.7  73.2   .52   .43   .0000 20.68 12.06 P165
   166   .9364  1    12.0      8.0  .7035   1.31    .98   1.47    .92  .0000    .26   1.00  58.3  74.9   .48   .47   .8941 19.04  6.20 P166
   167  1.4604  1    12.0      9.0  .7492    .54  -1.44    .37   -.85  .0000    .75   1.00  91.7  77.9   .44   .28  1.3820 15.49  3.40 P167
   168  -.9364  1    12.0      4.0  .7035    .76   -.71    .58   -.68  .0000    .67   1.00  75.0  74.9   .48   .36  -.8941 19.04  6.20 P168
   169  -.9364  1    12.0      4.0  .7035    .84   -.40    .65   -.52  .0000    .62   1.00  75.0  74.9   .48   .38  -.8941 19.04  6.20 P169
   170  -.9364  1    12.0      4.0  .7035    .50  -1.82    .39  -1.23  .0000    .82   1.00  91.7  74.9   .48   .29  -.8941 19.04  6.20 P170
   171  -.4588  1    12.0      5.0  .6817   1.18    .65   1.35    .85  .0000    .37   1.00  66.7  73.6   .51   .46  -.4399 20.38  9.92 P171
   172   .4588  1    12.0      7.0  .6817   1.83   2.25   2.11   2.04  .0000   -.07   1.00  50.0  73.6   .51   .57   .4399 20.38  9.92 P172
   173   .9364  1    12.0      8.0  .7035    .92   -.16    .74   -.32  .0000    .56   1.00  75.0  74.9   .48   .39   .8941 19.04  6.20 P173
   174  -.2801  1    11.0      5.0  .7178   1.07    .32    .90   -.07  .0000    .52   1.00  63.6  74.4   .53   .43  -.2727 16.78  9.47 P174
   175   .9364  1    12.0      8.0  .7035   1.26    .86   1.00    .19  .0000    .36   1.00  58.3  74.9   .48   .46   .8941 19.04  6.20 P175
   176  1.4604  1    12.0      9.0  .7492    .72   -.73    .51   -.53  .0000    .64   1.00  91.7  77.9   .44   .33  1.3820 15.49  3.40 P176
   177 -4.3237 -1    12.0       .0 1.8767   1.00    .00   1.00    .00  .0000    .00   1.00 100.0 100.0   .00   .00 -3.9477   .00   .00 P177
